20 Mei 2023
Harga Emas Logam Mulia Pegadaian
per Batangan (Rp)
996.600.000 (+11.000.000)
498.320.000 (+5.500.000)
249.265.000 (+2.750.000)
99.812.000 (+1.100.000)
49.945.000 (+550.000)
25.012.000 (+275.000)
10.055.000 (+110.000)
5.055.000 (+55.000)
3.053.001 (+33.000)
2.052.000 (+22.000)
1.056.000 (+11.000)
578.000 (+5.500)
Update harga LM Pegadaian :19 Mei 2023
